id,name,description,price,category,stock_quantity,created_date
1,Rexona Roll-on,Deodorant,60.00,Personal Care,40,2024-12-01 12:21:22
2,Apple iPhone 13,Smartphone with A15 Bionic chip,999.00,Electronics,50,2024-12-02 10:15:30
3,Logitech Mouse,Wireless mouse,25.00,Electronics,150,2024-12-02 11:00:00
4,Nike Air Max,Sneakers,120.00,Fashion,30,2024-12-02 11:45:00
5,Hershey's Chocolate,Milk chocolate bar,2.50,Food,500,2024-12-02 12:00:00
6,Samsung Galaxy S22+,High-end smartphone,850.00,Electronics,20,2024-12-02 12:30:00
7,Levi's Jeans,Denim jeans,60.00,Fashion,60,2024-12-02 13:00:00
8,Adidas Soccer Ball,Professional soccer ball,30.00,Sports,80,2024-12-02 13:30:00
9,Fossil Watch,Leather strap watch,120.00,Fashion,25,2024-12-02 14:00:00
10,Sony Headphones,Noise-cancelling headphones,200.00,Electronics,40,2024-12-02 14:30:00